pathway_id,algorithm,precision,recall,f1_score,hits_at_1,hits_at_3,hits_at_5,relation_type_accuracy,path_edit_distance,hub_node_ratio,path_length_mae,path_length_accuracy,mrr,time_ms
diflunisal_Rheumatoid_arthritis,Shortest Path,1.0,0.4,0.5714285714285715,1,1,1,0.0,0.6,1.0,3,0.4,1.0,0.26658399997359083
bromocriptine_Hyperprolactinemia,Shortest Path,1.0,0.4,0.5714285714285715,1,1,1,0.0,0.6,0.5,3,0.4,1.0,0.06654200001321442
amobarbital_Epilepsy,Shortest Path,1.0,0.3333333333333333,0.5,1,1,1,0.0,0.6666666666666666,1.0,4,0.33333333333333337,1.0,0.04562500021165761
capecitabine_Malignant_tumor_of_stomach,Shortest Path,1.0,0.5,0.6666666666666666,1,1,1,1.0,0.5,1.0,2,0.5,1.0,0.07287499988706259
oxaprozin_Rheumatoid_arthritis,Shortest Path,1.0,0.4,0.5714285714285715,1,1,1,0.0,0.6,1.0,3,0.4,1.0,0.021374999960244168
regorafenib_Gastrointestinal_stromal_tumor,Shortest Path,1.0,0.4,0.5714285714285715,1,1,1,0.0,0.6,0.5,3,0.4,1.0,0.035374999924897566
abiraterone_acetate_Malignant_tumor_of_prostate,Shortest Path,0.6666666666666666,0.2857142857142857,0.4,1,1,1,0.0,0.7142857142857143,1.0,4,0.4285714285714286,1.0,0.1973329999600537
abiraterone_acetate_Malignant_tumor_of_prostate_2,Shortest Path,0.6666666666666666,0.4,0.5,1,1,1,0.0,0.6,1.0,2,0.6,1.0,0.06079199988562323
abiraterone_acetate_Malignant_tumor_of_prostate_4,Shortest Path,0.6666666666666666,0.2857142857142857,0.4,1,1,1,0.0,0.7142857142857143,1.0,4,0.4285714285714286,1.0,0.06345899987536541
alfacalcidol_Chronic_Kidney_Disease-Mineral,Shortest Path,1.0,0.4,0.5714285714285715,1,1,1,1.0,0.6,0.0,3,0.4,1.0,0.03229100002499763
alfacalcidol_Chronic_Kidney_Disease-Mineral_2,Shortest Path,1.0,0.4,0.5714285714285715,1,1,1,1.0,0.6,0.0,3,0.4,1.0,0.005749999900217517
alfacalcidol_Chronic_Kidney_Disease-Mineral_3,Shortest Path,1.0,0.4,0.5714285714285715,1,1,1,1.0,0.6,0.0,3,0.4,1.0,0.00579199991079804
Dyphylline_Asthma,Shortest Path,1.0,0.5,0.6666666666666666,1,1,1,0.0,0.5,1.0,2,0.5,1.0,0.05320800005392812
Tirofiban_Acute_Coronary_Syndrome,Shortest Path,1.0,0.4,0.5714285714285715,1,1,1,0.0,0.6,0.5,3,0.4,1.0,0.02141699997082469
Cilastatin_Pneumonia_Pneumococcal,Shortest Path,1.0,0.5,0.6666666666666666,1,1,1,1.0,0.5,0.0,2,0.5,1.0,0.037416999930428574
Cilastatin_Pneumonia_Bacterial,Shortest Path,1.0,0.5,0.6666666666666666,1,1,1,1.0,0.5,0.0,2,0.5,1.0,0.013792000117973657
Magnesium_salicylate_Rheumatoid_arthritis,Shortest Path,1.0,0.4,0.5714285714285715,1,1,1,0.0,0.6,1.0,3,0.4,1.0,0.014374999864230631
baricitinib_Arthritis_Rheumatoid,Shortest Path,1.0,0.2857142857142857,0.4444444444444445,1,1,1,0.0,0.7142857142857143,1.0,5,0.2857142857142857,1.0,0.02408299997114227
Budesonide_Asthma,Shortest Path,1.0,0.2,0.33333333333333337,1,1,1,0.0,0.8,1.0,8,0.19999999999999996,1.0,0.04150000017943967
ketoprofen_Rheumatoid_arthritis,Shortest Path,1.0,0.4,0.5714285714285715,1,1,1,0.0,0.6,1.0,3,0.4,1.0,0.014874999806124833
Tegafur_Stomach_Neoplasms,Shortest Path,1.0,0.5,0.6666666666666666,1,1,1,1.0,0.5,1.0,2,0.5,1.0,0.013000000080864993
nintedanib_Carcinoma_Non-Small-Cell_Lung,Shortest Path,1.0,0.5,0.6666666666666666,1,1,1,0.0,0.5,0.5,2,0.5,1.0,0.02262499992866651
Naloxone_Opioid-Related_Disorders,Shortest Path,1.0,0.3333333333333333,0.5,1,1,1,0.0,0.6666666666666666,0.5,4,0.33333333333333337,1.0,0.05591700005425082
Meclofenamic_acid_Rheumatoid_arthritis,Shortest Path,1.0,0.4,0.5714285714285715,1,1,1,0.0,0.6,1.0,3,0.4,1.0,0.014958000065234955
methyltestosterone_Eunuchism,Shortest Path,1.0,0.5,0.6666666666666666,1,1,1,1.0,0.5,0.5,2,0.5,1.0,0.03983300007348589
Choline_magnesium_trisalicylate_Rheumatoid_arthritis,Shortest Path,1.0,0.4,0.5714285714285715,1,1,1,0.0,0.6,1.0,3,0.4,1.0,0.008750000006330083
Amantadine_Basal_Ganglia_Diseases,Shortest Path,1.0,0.5,0.6666666666666666,1,1,1,0.0,0.5,0.5,2,0.5,1.0,0.022459000092567294
Amantadine_Parkinsonian_Disorders,Shortest Path,1.0,0.5,0.6666666666666666,1,1,1,0.0,0.5,0.5,2,0.5,1.0,0.016250000044237822
methylphenidate_Attention_deficit_hyperactivit,Shortest Path,1.0,0.4,0.5714285714285715,1,1,1,0.0,0.6,0.5,3,0.4,1.0,0.032250000003841706
fosphenytoin_Epilepsy,Shortest Path,1.0,0.5,0.6666666666666666,1,1,1,1.0,0.5,1.0,2,0.5,1.0,0.01708300010250241
fosphenytoin_Status_Epilepticus,Shortest Path,1.0,0.5,0.6666666666666666,1,1,1,1.0,0.5,0.5,2,0.5,1.0,0.017791999880500953
Nabumetone_Arthritis_Rheumatoid,Shortest Path,1.0,0.4,0.5714285714285715,1,1,1,0.0,0.6,1.0,3,0.4,1.0,0.016791999996712548
Axitinib_Carcinoma_Renal_Cell,Shortest Path,1.0,0.3333333333333333,0.5,1,1,1,0.0,0.6666666666666666,0.5,4,0.33333333333333337,1.0,0.015874999917286914
